regency_city,avg_years_schooling,grdp_per_capita,poverty_rate,population_density
Cilacap,-0.67931612143801,0.4804753042073913,0.17421666329556507,-0.4955569151235685
Banyumas,-0.3030892282432071,-0.34301414392238616,0.5754565950824996,-0.3043406208106206
Purbalingga,-0.7088241130611318,-0.5878039211945669,1.2799960028658575,-0.32111397996087915
Banjarnegara,-1.070297010444374,-0.7256434422047766,1.4474425885722164,-0.47375154822823234
Kebumen,-0.33259721986632895,-0.7364088097209944,1.763379542735157,-0.4167221271173531
Purworejo,0.24280861678454652,-0.6169193469770652,0.23424468458652364,-0.5530056702132041
Wonosobo,-1.0481660167270326,-0.7394059859044869,1.6275266524450922,-0.4796222239308228
Magelang,-0.3621052114894508,-0.57382729348175,0.22160720642000628,-0.7828006905717468
Boyolali,-0.1112872826929155,-0.2959156610389331,-0.15751713857552235,-0.4406241639064716
Klaten,0.7149364827544945,-0.26395597622516137,0.6038909209571642,-0.0850289499209895
Sukoharjo,1.2460803319706877,0.05255194543773201,-0.8399409595674746,-0.061126913131871005
Wonogiri,-0.47276018007615783,-0.41736246333126564,0.18369477192045364,-0.6293244543468808
Karanganyar,0.6928054890371537,0.06108472253155241,-0.17015461674204027,-0.358854038048961
Sragen,-0.32522022196054867,0.025026858038311388,0.7207875939974526,-0.43768882605517634
Grobogan,-0.7604630984015952,-0.8064448654372981,0.4111693789177706,-0.549231664404396
Blora,-0.7825940921189367,-0.45164648885876624,0.40801000937614124,-0.6666451784562061
Rembang,-0.43587519054725504,-0.3850969442130559,1.229446090199787,-0.5924230642163119
Pati,-0.3694822093952311,-0.2543221956353641,-0.30284813749047534,-0.4955569151235685
Kudus,0.7591984701891776,2.8819780129459533,-0.9157658285665802,-0.033450870533944334
Jepara,-0.03751730363511125,-0.5647134312094974,-1.2759339563123326,-0.35466069826139635
Demak,-0.030140305729330956,-0.7054583781118682,0.5565003778327235,-0.3240493178121744
Semarang,-0.11866428059869581,0.26960255129738553,-1.0010688061905744,-0.4129481213085449
Temanggung,-0.5834151486628643,-0.485441179499166,-0.46081661457194567,-0.466203536610616
Kendal,-0.42849819264147476,0.11894857293122331,-0.2459794857411461,-0.41839946303237896
Batang,-0.9153800544229846,-0.46213660550098984,-0.4418603973221691,-0.45110751337538324
Pekalongan,-0.6203001381917663,-0.6638649127082992,-0.3723542674063225,-0.3827560748380795
Pemalang,-1.2989839455235686,-0.8788358452977743,1.5137893489464338,-0.293018603384196
Tegal,-0.7088241130611318,-0.6995251926057708,-1.0484593493150156,-0.14750971275570274
Brebes,-1.409638914110275,-0.6522737925700988,1.7286264777772333,-0.36430537977279503
Kota Magelang,2.2936140345915117,1.3821665839819672,-1.3233244994367737,1.904710779278436
Kota Surakarta,2.160828072287464,2.1693840836053973,-0.5745539180706042,3.878096483306359
Kota Salatiga,2.3304990241204147,1.1762177633734132,-1.7561581266400024,0.6739655516282117
Kota Semarang,2.0132881141718553,3.217478244914447,-1.9267640818879905,1.0752681692981485
Kota Pekalongan,0.7518214722833974,-0.1644680769914777,-1.0800530447313095,2.0531550077582246
Kota Tegal,0.7075594848487142,0.6395703093760425,-0.7862316773597747,2.2066312439830904
